year,date,mm,period
41,7/15/1941,-100.7473958,1941-1960				
42,7/15/1942,-101.4473958,1941-1960			
43,7/15/1943,-104.0140625,1941-1960	
44,7/15/1944,-116.9473958,1941-1960					
45,7/15/1945,-104.4473958,1941-1960	
46,7/15/1946,-92.68072917,1941-1960	
47,7/15/1947,-97.44739583,1941-1960	
48,7/15/1948,-91.8140625,1941-1960	
49,7/15/1949,-95.4140625,1941-1960	
50,7/15/1950,-91.44739583,1941-1960	
51,7/15/1951,-82.3140625,1941-1960	
52,7/15/1952,-84.48072917,1941-1960	
53,7/15/1953,-75.34739583,1941-1960	
54,7/15/1954,-86.7140625,1941-1960	
55,7/15/1955,-87.44739583,1941-1960	
56,7/15/1956,-86.58072917,1941-1960	
57,7/15/1957,-69.54739583,1941-1960	
58,7/15/1958,-72.9140625,1941-1960	
59,7/15/1959,-70.2140625,1941-1960	
60,7/15/1960,-66.88072917,1941-1960	
