year,date,mm,period
01,7/15/2001,4.719270833,2001-2022			
02,7/15/2002,2.152604167,2001-2022			
03,7/15/2003,14.61927083,2001-2022	
04,7/15/2004,13.65260417,2001-2022	
05,7/15/2005,12.11927083,2001-2022	
06,7/15/2006,9.519270833,2001-2022	
07,7/15/2007,22.7859375,2001-2022	
08,7/15/2008,30.45260417,2001-2022	
09,7/15/2009,33.65260417,2001-2022
10,7/15/2010,33.87824005,2001-2022
11,7/15/2011,36.71847075,2001-2022
12,7/15/2012,47.17390325,2001-2022			
13,7/15/2013,41.33798668,2001-2022
14,7/15/2014,53.85737212,2001-2022
15,7/15/2015,50.46170567,2001-2022
16,7/15/2016,54.34696367,2001-2022
17,7/15/2017,57.35599133,2001-2022
18,7/15/2018,53.08512198,2001-2022
19,7/15/2019,61.39371322,2001-2022
20,7/15/2020,66.70432506,2001-2022
21,7/15/2021,63.29,2001-2022
22,7/15/2022,69.66,2001-2022			
