year,date,mm,period
61,7/15/1961,-60.74739583,1961-1980			
62,7/15/1962,-68.04739583,1961-1980		
63,7/15/1963,-69.9140625,1961-1980				
64,7/15/1964,-70.98072917,1961-1980				
65,7/15/1965,-66.3140625,1961-1980				
66,7/15/1966,-70.48072917,1961-1980				
67,7/15/1967,-66.44739583,1961-1980				
68,7/15/1968,-72.8140625,1961-1980				
69,7/15/1969,-62.6140625,1961-1980				
70,7/15/1970,-64.74739583,1961-1980			
71,7/15/1971,-60.48072917,1961-1980			
72,7/15/1972,-43.7140625,1961-1980				
73,7/15/1973,-56.74739583,1961-1980				
74,7/15/1974,-43.18072917,1961-1980				
75,7/15/1975,-45.84739583,1961-1980				
76,7/15/1976,-44.74739583,1961-1980				
77,7/15/1977,-48.5140625,1961-1980				
78,7/15/1978,-41.8140625,1961-1980				
79,7/15/1979,-46.8140625,1961-1980				
80,7/15/1980,-41.88072917,1961-1980	
